{'track_id': '858', 'skip_count': '48', 'skip_date': '2019-09-16T19:40:52Z', 'name': 'Boulevard of Broken Dreams', 'artist': 'Green Day'}
{'track_id': '1646', 'skip_count': '9', 'skip_date': '2019-09-16T19:40:58Z', 'name': 'Colonial (Explore)', 'artist': 'Ben Prunty'}
{'track_id': '2028', 'play_count': '21', 'play_date_utc': '2019-09-16T19:53:43Z', 'name': 'The Wight to Remain', 'artist': 'Flexstyle ft. DjjD'}
{'track_id': '2028', 'skip_count': '11', 'skip_date': '2019-09-16T19:53:13Z', 'name': 'The Wight to Remain', 'artist': 'Flexstyle ft. DjjD'}
{'track_id': '4590', 'play_count': '92', 'play_date_utc': '2019-09-16T19:56:24Z', 'name': 'Goodie Bag', 'artist': 'Still Woozy'}
{'track_id': '4602', 'play_count': '18', 'play_date_utc': '2019-09-16T19:56:16Z', 'name': 'Wolfcat', 'artist': 'Still Woozy'}
{'track_id': '5146', 'skip_count': '3', 'skip_date': '2019-09-16T19:52:56Z', 'name': 'Pop', 'artist': 'Death Grips'}
{'track_id': '5336', 'play_count': '8', 'play_date_utc': '2019-09-16T18:51:42Z', 'name': 'We The People....', 'artist': 'A Tribe Called Quest'}
{'track_id': '4606', 'skip_count': '7', 'skip_date': '2019-09-16T20:17:46Z', 'name': 'Habit', 'artist': 'Still Woozy'}
{'track_id': '4604', 'skip_count': '5', 'skip_date': '2019-09-16T20:17:52Z', 'name': 'Lucy', 'artist': 'Still Woozy ft. ODIE'}
{'track_id': '5526', 'play_count': '19', 'play_date_utc': '2019-09-16T20:19:51Z', 'name': 'Maybe She', 'artist': 'Still Woozy'}
{'track_id': '4588', 'skip_count': '15', 'skip_date': '2019-09-16T20:24:03Z', 'name': 'Vacation', 'artist': 'Still Woozy'}
{'track_id': '4592', 'play_count': '50', 'play_date_utc': '2019-09-16T20:23:30Z', 'name': 'Cooks', 'artist': 'Still Woozy'}
{'track_id': '5522', 'play_count': '27', 'play_date_utc': '2019-09-16T20:21:58Z', 'name': 'Ipanema', 'artist': 'Still Woozy ft. Omar Apollo &#38; Elujay'}
{'track_id': '1094', 'play_count': '77', 'play_date_utc': '2019-09-16T20:25:06Z', 'name': 'Metal Crusher', 'artist': 'Toby Fox'}
{'track_id': '4304', 'play_count': '9', 'play_date_utc': '2019-09-16T20:33:28Z', 'name': 'Why Not?', 'artist': 'Gentle Giant'}
{'track_id': '2368', 'play_count': '9', 'play_date_utc': '2019-09-16T20:35:07Z', 'name': 'Underwater', 'artist': 'Koji Kondo'}
{'track_id': '3282', 'play_count': '11', 'play_date_utc': '2019-09-16T20:36:14Z', 'name': 'Shoshone Overlook', 'artist': 'Chris Remo'}
{'track_id': '5426', 'play_count': '2', 'play_date_utc': '2019-09-16T20:39:34Z', 'name': "IGOR'S THEME", 'artist': 'Tyler, The Creator'}
{'track_id': '4196', 'play_count': '8', 'play_date_utc': '2019-09-16T20:44:27Z', 'name': 'Cat Food', 'artist': 'King Crimson'}
{'track_id': '3154', 'skip_count': '10', 'skip_date': '2019-09-17T07:10:16Z', 'name': 'End of the World', 'artist': 'TOMMY, Coda, JIN'}
{'track_id': '4598', 'skip_count': '7', 'skip_date': '2019-09-17T07:10:10Z', 'name': 'Living in the Plastic Age', 'artist': 'Buggles'}
{'track_id': '868', 'skip_count': '42', 'skip_date': '2019-09-17T07:11:03Z', 'name': 'Animal', 'artist': 'Miike Snow'}
{'track_id': '4884', 'skip_count': '2', 'skip_date': '2019-09-17T07:11:06Z', 'name': 'Lord of the Game', 'artist': 'Death Grips'}
{'track_id': '4902', 'play_count': '30', 'play_date_utc': '2019-09-17T07:13:45Z', 'name': 'Lava', 'artist': 'Still Woozy'}
{'track_id': '5524', 'play_count': '11', 'play_date_utc': '2019-09-17T07:16:38Z', 'name': 'Foolsong', 'artist': 'Still Woozy'}
{'track_id': '4604', 'play_count': '28', 'play_date_utc': '2019-09-17T07:19:00Z', 'name': 'Lucy', 'artist': 'Still Woozy ft. ODIE'}
{'track_id': '5522', 'play_count': '28', 'play_date_utc': '2019-09-17T07:21:07Z', 'name': 'Ipanema', 'artist': 'Still Woozy ft. Omar Apollo &#38; Elujay'}
{'track_id': '5526', 'play_count': '20', 'play_date_utc': '2019-09-17T07:23:56Z', 'name': 'Maybe She', 'artist': 'Still Woozy'}
{'track_id': '4588', 'play_count': '29', 'play_date_utc': '2019-09-17T07:27:50Z', 'name': 'Vacation', 'artist': 'Still Woozy'}
{'track_id': '4602', 'play_count': '19', 'play_date_utc': '2019-09-17T07:30:42Z', 'name': 'Wolfcat', 'artist': 'Still Woozy'}
{'track_id': '4590', 'play_count': '93', 'play_date_utc': '2019-09-17T07:33:10Z', 'name': 'Goodie Bag', 'artist': 'Still Woozy'}
{'track_id': '5084', 'play_count': '80', 'play_date_utc': '2019-09-17T07:35:38Z', 'name': 'What?', 'artist': 'A Tribe Called Quest'}
{'track_id': '5066', 'skip_count': '3', 'skip_date': '2019-09-17T07:37:36Z', 'name': 'Butter', 'artist': 'A Tribe Called Quest'}
{'track_id': '5076', 'play_count': '30', 'play_date_utc': '2019-09-17T07:37:24Z', 'name': 'Check The Rhime', 'artist': 'A Tribe Called Quest'}
{'track_id': '5084', 'skip_count': '6', 'skip_date': '2019-09-17T07:37:33Z', 'name': 'What?', 'artist': 'A Tribe Called Quest'}
{'track_id': '5358', 'skip_count': '5', 'skip_date': '2019-09-17T07:37:27Z', 'name': 'Movin Backwards', 'artist': 'A Tribe Called Quest'}
{'track_id': '5062', 'skip_count': '3', 'skip_date': '2019-09-17T07:42:42Z', 'name': "Buggin' Out", 'artist': 'A Tribe Called Quest'}
{'track_id': '5344', 'skip_count': '5', 'skip_date': '2019-09-17T07:42:37Z', 'name': 'Kids...', 'artist': 'A Tribe Called Quest'}
{'track_id': '5358', 'play_count': '30', 'play_date_utc': '2019-09-17T07:42:21Z', 'name': 'Movin Backwards', 'artist': 'A Tribe Called Quest'}
{'track_id': '5746', 'skip_count': '5', 'skip_date': '2019-09-17T07:42:26Z', 'name': 'Description of a Fool', 'artist': 'A Tribe Called Quest'}
{'track_id': '5336', 'play_count': '9', 'play_date_utc': '2019-09-17T07:45:34Z', 'name': 'We The People....', 'artist': 'A Tribe Called Quest'}
{'track_id': '5064', 'play_count': '13', 'play_date_utc': '2019-09-17T07:47:48Z', 'name': 'Rap Promoter', 'artist': 'A Tribe Called Quest'}
{'track_id': '5080', 'skip_count': '5', 'skip_date': '2019-09-17T07:47:56Z', 'name': "Jazz (We've Got)", 'artist': 'A Tribe Called Quest'}
{'track_id': '5072', 'play_count': '14', 'play_date_utc': '2019-09-17T07:52:14Z', 'name': 'Vibes and Stuff', 'artist': 'A Tribe Called Quest'}
{'track_id': '5338', 'play_count': '7', 'play_date_utc': '2019-09-17T07:55:07Z', 'name': 'Whateva Will Be', 'artist': 'A Tribe Called Quest'}
{'track_id': '5722', 'play_count': '4', 'play_date_utc': '2019-09-17T08:47:53Z', 'name': 'Luck of Lucien', 'artist': 'A Tribe Called Quest'}
{'track_id': '5062', 'play_count': '10', 'play_date_utc': '2019-09-17T08:51:30Z', 'name': "Buggin' Out", 'artist': 'A Tribe Called Quest'}
{'track_id': '5354', 'play_count': '7', 'play_date_utc': '2019-09-17T08:54:14Z', 'name': 'The Killing Season', 'artist': 'A Tribe Called Quest'}
{'track_id': '5720', 'skip_count': '3', 'skip_date': '2019-09-17T08:54:27Z', 'name': 'Push It Along', 'artist': 'A Tribe Called Quest'}
